Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland,684.8137499999999,SR1,3.0436166666666664
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,651.29,SR1,2.894622222222222
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,581.464375,SR1,2.584286111111111
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland,591.74875,SR1,2.6299944444444443
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Papakura--Distribution Centre Auckland,770.4275,SR1,3.4241222222222225
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland,536.999375,SR1,2.3866638888888887
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland,674.6006249999999,SR1,2.9982249999999997
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland,641.0687499999999,SR1,2.849194444444444
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland,677.7718749999999,SR1,3.012319444444444
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Papakura--Distribution Centre Auckland,842.4262499999999,SR1,3.7441166666666663
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland,612.4224999999999,SR1,2.7218777777777774
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland,746.599375,SR1,3.3182194444444444
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland,608.4706249999999,SR1,2.7043138888888887
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland,772.749375,SR1,3.434441666666667
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland,555.4606249999999,SR1,2.4687138888888884
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Countdown Takanini--Distribution Centre Auckland,676.9231249999999,SR1,3.008547222222222
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Countdown Papakura--Distribution Centre Auckland,787.23,SR1,3.4988
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,580.75,SR1,2.581111111111111
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,689.30125,SR1,3.063561111111111
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,747.7987499999999,SR1,3.3235499999999996
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,793.03875,SR1,3.5246166666666667
