Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Manurewa--Countdown Papatoetoe--Distribution Centre Auckland,685.61375,SR1,3.047172222222222
Distribution Centre Auckland--Countdown Manurewa--Countdown Takanini--Distribution Centre Auckland,709.79,SR1,3.154622222222222
Distribution Centre Auckland--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland,599.3918749999999,SR1,2.6639638888888886
Distribution Centre Auckland--Countdown Manurewa--SuperValue Papakura--Distribution Centre Auckland,727.358125,SR1,3.2327027777777775
Distribution Centre Auckland--Countdown Papakura--Countdown Papatoetoe--Distribution Centre Auckland,819.876875,SR1,3.6438972222222223
Distribution Centre Auckland--Countdown Papakura--Countdown Takanini--Distribution Centre Auckland,780.741875,SR1,3.469963888888889
Distribution Centre Auckland--Countdown Papakura--SuperValue Flatbush--Distribution Centre Auckland,740.0481249999999,SR1,3.2891027777777775
Distribution Centre Auckland--Countdown Papakura--SuperValue Papakura--Distribution Centre Auckland,759.693125,SR1,3.376413888888889
Distribution Centre Auckland--Countdown Papatoetoe--Countdown Takanini--Distribution Centre Auckland,701.5724999999999,SR1,3.1180999999999996
Distribution Centre Auckland--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland,562.104375,SR1,2.4982416666666665
Distribution Centre Auckland--Countdown Papatoetoe--SuperValue Papakura--Distribution Centre Auckland,717.038125,SR1,3.1868361111111114
Distribution Centre Auckland--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland,616.0975,SR1,2.738211111111111
Distribution Centre Auckland--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland,674.3331249999999,SR1,2.9970361111111106
Distribution Centre Auckland--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland,628.6843749999999,SR1,2.7941527777777773
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland,831.8756250000001,SR1,3.6972250000000004
