Route, Time [min] 
Distribution Centre Auckland--Countdown Roselands--Countdown Takanini--Distribution Centre Auckland, 189.35466666666667
Distribution Centre Auckland--Countdown Roselands--SuperValue Flatbush--Distribution Centre Auckland, 175.50416666666666
Distribution Centre Auckland--Countdown Roselands--SuperValue Papakura--Distribution Centre Auckland, 170.47950000000003
Distribution Centre Auckland--Countdown Takanini--SuperValue Flatbush--Distribution Centre Auckland, 164.29266666666666
Distribution Centre Auckland--Countdown Takanini--SuperValue Papakura--Distribution Centre Auckland, 164.82216666666665
Distribution Centre Auckland--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 152.64916666666664
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland, 221.83350000000002
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--SuperValue Flatbush--Distribution Centre Auckland, 227.05533333333335
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--SuperValue Flatbush--Distribution Centre Auckland, 224.332
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland, 224.1156666666667
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--SuperValue Flatbush--Distribution Centre Auckland, 230.19716666666665
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--SuperValue Flatbush--Distribution Centre Auckland, 236.87416666666667
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--SuperValue Flatbush--Distribution Centre Auckland, 230.1945
Distribution Centre Auckland--Countdown Airport--SuperValue Flatbush--SuperValue Papakura--Distribution Centre Auckland, 230.6101666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland, 229.107
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland, 232.98683333333335
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland, 235.72933333333333
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland, 228.62949999999998
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--SuperValue Flatbush--Distribution Centre Auckland, 212.26166666666666
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--SuperValue Papakura--Distribution Centre Auckland, 231.9475
